Time Created,Tweet_Text,Username,Additional Hashtags,Account Followers,Number Retweets,Number Likes
2020-12-22 20:11:18,"b""You can\xe2\x80\x99t sue #Pfizer or #Moderna if you have severe #Covid #vaccine #sideeffects. The government likely won't compensate you for damages either https://t.co/BgWnCvrJUz @AKlarenbach @michalrachon @WartoRozmawiac @wPolityce_pl @lkwarzecha @GadowskiWitold @MarcinRola89 @PatrykJaki""",b'editt86',"['Pfizer', 'Moderna', 'Covid', 'vaccine', 'sideeffects']",2571,1,1
2020-12-22 20:07:41,b'Here\xe2\x80\x99s a look inside the #Vaccine Room at #Nashville\xe2\x80\x99s first COVID-19 vaccine clinic... Expecting to see about 300 healthcare workers Wednesday. #Moderna and #Pfizer vaccines will be stored down the street at Lentz Public Health Center. @WKRN https://t.co/PxhGKpwfYI',b'StassyOlmosWKRN',"['Vaccine', 'Nashville', 'Moderna', 'Pfizer']",1325,1,10
2020-12-22 19:57:48,"b""#BackTo60 #FullRestitution #CEDAW #WomensBillOfRights #MakeWomenVisible  #StatePensionTheft #PayGap #PensionPayGap #NoExcuseForAbuse #EVAW #Covid19 #WednesdayThought #Pfizer #Vaccine  #MurdochMafia   This  \xf0\x9f\x91\x87'Advert'\xf0\x9f\x91\x87  WAS \xf0\x9f\x91\x87'Supposed'\xf0\x9f\x91\x87  to inform us of pension age changes! https://t.co/znEAqH5fY3""",b'SaddlerSue',"['BackTo60', 'FullRestitution', 'CEDAW', 'WomensBillOfRights', 'MakeWomenVisible', 'StatePensionTheft', 'PayGap', 'PensionPayGap', 'NoExcuseForAbuse', 'EVAW', 'Covid19', 'WednesdayThought', 'Pfizer', 'Vaccine', 'MurdochMafia']",1057,8,10
2020-12-22 19:53:32,b'#COVID19 #vaccine : First person receives #Pfizer jab in #UK New variant of COVID-19 identified in #Britain  Improvise. Adapt. Overcome https://t.co/vVkAIyNJEL',b'HannahJ06658244',"['COVID19', 'vaccine', 'Pfizer', 'UK', 'Britain']",113,0,0
2020-12-22 19:44:45,b'Suspicions grow that nanoparticles in #Pfizer\xe2\x80\x99s COVID-19 #vaccine trigger rare #allergic reactions https://t.co/FOW1YN0rG9',b'aVg',"['Pfizer', 'vaccine', 'allergic']",11424,0,0
2020-12-22 19:31:27,b'Dr. Fauci received his first dose of the COVID-19 vaccine!  #fauci #moderna #pfizer #covid #vaccine  \xf0\x9f\x91\x8c https://t.co/ShhVKWlXI1',b'FameVienna',"['fauci', 'moderna', 'pfizer', 'covid', 'vaccine']",132,2,0
2020-12-22 19:08:04,b'As #mrna and #Pfizer is being distributed and administered community care facilities in #california are preparing to participate! @CDCgov @CountyofLA @HarborRegnlCtr @CaliforniaDDS #vaccination #vaccine #protect #community https://t.co/UARKHdYKtR',b'ecvcare',"['mrna', 'Pfizer', 'california', 'vaccination', 'vaccine', 'protect', 'community']",6,0,1
2020-12-22 18:38:49,b'Suspicions grow that nanoparticles in #Pfizer\xe2\x80\x99s #COVID-19 vaccine trigger rare allergic reactions https://t.co/V0qgvyXfWk @AKlarenbach @tvp_info @MaciejRPawlicki @wPolityce_pl @wrealu24_pl @MarcinRola89 @GadowskiWitold @lkwarzecha @TheCejrowski @KONFEDERACJA_ @D_Sosnierz',b'editt86',"['Pfizer', 'COVID']",2571,0,0
2020-12-22 18:34:01,"b'Health Surveillance Secretary Arnaldo Medeiros said that the estimate includes #vaccine doses from #AstraZeneca, #Pfizer and Sao Paulo\xe2\x80\x99s Butantan Institute, which is filling and finishing a vaccine developed by China\xe2\x80\x99s #Sinovac Biotech. Read on LABS: https://t.co/qBIdoWI4YJ'",b'labs_news',"['vaccine', 'AstraZeneca', 'Pfizer', 'Sinovac']",568,0,1
2020-12-22 18:29:25,b'Pfizer-BioNTech and Moderna scramble to test their COVID-19 vaccines against highly infectious variant #COVID #COVID19 #COVID_19 #Coronavirus #COVID19vaccine #CoronavirusStrain #COVID20 #Pfizer #BioNTech #Moderna https://t.co/IrE2MuGf7o',b'PigeonExpress_',"['COVID', 'COVID19', 'COVID_19', 'Coronavirus', 'COVID19vaccine', 'CoronavirusStrain', 'COVID20', 'Pfizer', 'BioNTech', 'Moderna']",2770,3,4
